iter	Passed	Remaining
0	182	182083
1	183	91769
2	185	61584
3	188	46980
4	190	37868
5	191	31766
6	193	27516
7	195	24236
8	196	21683
9	198	19633
10	199	17952
11	204	16805
12	205	15625
13	207	14631
14	209	13767
15	211	12999
16	212	12312
17	214	11698
18	216	11154
19	217	10672
20	221	10330
21	223	9939
22	225	9566
23	226	9223
24	228	8906
25	230	8623
26	231	8358
27	235	8171
28	237	7942
29	238	7725
30	240	7521
31	242	7327
32	243	7148
33	245	6976
34	247	6822
35	250	6700
36	252	6568
37	255	6469
38	257	6336
39	258	6212
40	260	6096
41	264	6039
42	266	5933
43	268	5831
44	270	5734
45	271	5640
46	273	5551
47	275	5464
48	277	5393
49	279	5318
50	281	5242
51	283	5164
52	284	5089
53	286	5018
54	288	4950
55	291	4917
56	293	4851
57	295	4803
58	298	4753
59	300	4711
60	306	4720
61	308	4670
62	310	4616
63	312	4572
64	314	4529
65	316	4485
66	321	4472
67	323	4428
68	325	4386
69	327	4353
70	329	4313
71	331	4271
72	336	4268
73	338	4236
74	342	4218
75	345	4197
76	347	4167
77	352	4167
78	355	4147
79	357	4116
80	360	4089
81	363	4069
82	369	4077
83	371	4053
84	373	4018
85	374	3983
86	376	3950
87	377	3916
88	379	3883
89	384	3883
90	385	3854
91	387	3827
92	389	3800
93	391	3773
94	393	3744
95	394	3715
96	398	3712
97	400	3686
98	402	3659
99	404	3636
100	405	3611
101	407	3585
102	408	3558
103	411	3547
104	413	3526
105	415	3501
106	416	3479
107	418	3460
108	420	3436
109	421	3412
110	423	3389
111	425	3373
112	428	3364
113	430	3343
114	431	3322
115	433	3306
116	435	3282
117	436	3262
118	437	3241
119	439	3220
120	442	3213
121	443	3193
122	445	3175
123	447	3161
124	448	3142
125	450	3124
126	451	3103
127	452	3085
128	457	3087
129	459	3071
130	460	3055
131	462	3042
132	464	3025
133	465	3008
134	466	2992
135	468	2975
136	471	2972
137	473	2958
138	475	2944
139	476	2929
140	478	2916
141	479	2897
142	481	2883
143	482	2868
144	486	2869
145	488	2855
146	489	2841
147	491	2831
148	493	2819
149	495	2807
150	496	2793
151	501	2795
152	503	2785
153	504	2772
154	506	2760
155	507	2747
156	509	2734
157	510	2721
158	512	2708
159	515	2706
160	516	2692
161	518	2680
162	519	2668
163	521	2655
164	522	2643
165	523	2631
166	525	2619
167	526	2608
168	529	2604
169	531	2593
170	537	2604
171	546	2631
172	552	2640
173	560	2661
174	564	2660
175	566	2653
176	568	2645
177	573	2649
178	575	2639
179	577	2629
180	578	2618
181	580	2607
182	581	2596
183	583	2585
184	584	2575
185	587	2571
186	589	2560
187	590	2550
188	591	2540
189	593	2529
190	594	2519
191	596	2509
192	597	2499
193	599	2488
194	601	2482
195	603	2475
196	604	2465
197	606	2455
198	607	2446
199	609	2436
200	610	2426
201	611	2416
202	613	2407
203	614	2398
204	618	2396
205	619	2387
206	620	2378
207	622	2369
208	623	2360
209	625	2351
210	626	2342
211	627	2333
212	629	2325
213	632	2324
214	634	2316
215	636	2308
216	638	2304
217	640	2297
218	642	2290
219	643	2282
220	648	2284
221	649	2276
222	651	2269
223	653	2262
224	654	2254
225	655	2246
226	657	2238
227	658	2230
228	661	2225
229	663	2220
230	665	2214
231	666	2206
232	667	2198
233	669	2191
234	670	2183
235	672	2175
236	673	2168
237	676	2164
238	677	2157
239	679	2150
240	680	2143
241	681	2135
242	683	2128
243	684	2121
244	686	2114
245	687	2106
246	688	2099
247	693	2101
248	694	2095
249	696	2089
250	698	2083
251	700	2078
252	701	2072
253	703	2066
254	708	2069
255	709	2062
256	711	2055
257	712	2048
258	713	2042
259	715	2035
260	716	2029
261	718	2023
262	721	2022
263	723	2016
264	724	2010
265	726	2004
266	728	1999
267	729	1993
268	731	1987
269	732	1981
270	735	1977
271	737	1972
272	738	1966
273	739	1960
274	741	1954
275	742	1948
276	744	1942
277	745	1936
278	747	1930
279	748	1924
280	751	1922
281	752	1917
